Name,Date,value
p132400,31-01-2023,145.572129
X28640,28-09-2022,175.3757182
q23764,28-02-2023,112.447173
g210995,28-02-2023,223.6186269
e101879,28-02-2023,229.5158097
b32797,28-02-2023,111.2114168
n15006,27-02-2023,183.9684212
b142073,27-02-2023,81.42403952
c77628,25-01-2023,179.23637
k207723,24-02-2023,121.2332022
e30569,22-02-2023,188.1203374
j158235,22-02-2023,131.5366603
t38988,22-02-2023,211.7482828
e184247,22-02-2023,156.9708651
u39908,22-02-2023,123.7634838
o145005,22-02-2023,122.0618863
k210246,22-02-2023,115.5416825
m148894,22-02-2023,109.8029581
c203952,22-02-2023,124.43967
r210557,22-02-2023,149.2614419
h59047,22-02-2023,210.7309302
s100025,22-02-2023,100.6621813
l109713,22-02-2023,216.6486937
v36593,22-02-2023,178.7145256
k96618,22-02-2023,150.8972538
w172849,22-02-2023,139.8838747
t154892,22-02-2023,205.6754816
h192587,22-02-2023,130.419469
w225086,22-02-2023,145.218279
g147595,22-02-2023,229.3854341
a206423,22-02-2023,208.3924019
g56567,22-02-2023,106.9287155
j188933,22-02-2023,172.0231144
b64121,22-02-2023,159.6640798
m143388,22-02-2023,118.4844798
e39400,22-02-2023,66.07315699
x97220,22-02-2023,213.7762223
n183684,22-02-2023,204.8575238
l157760,21-09-2022,119.9601033
n94042,21-09-2022,145.5334434
w59217,21-10-2022,72.36203096
i106904,21-11-2022,126.7373738
k156186,20-09-2022,162.5839605
o24249,19-01-2023,151.616062
q94448,19-01-2023,85.06915353
X14812,17-11-2022,136.3965269
p203593,17-02-2023,192.5882415
q229764,15-02-2023,130.0150331
w112168,02-03-2023,193.5743517
v89635,02-03-2023,119.8546723
d1210,02-03-2023,193.8842632
h225950,02-03-2023,227.8876803
k171714,02-03-2023,152.2643107
d150323,02-03-2023,173.6355411
s30492,02-03-2023,205.1570745
q54746,02-03-2023,194.3701399
s188923,02-03-2023,207.4187283
p99631,02-03-2023,154.9474699
m97036,02-03-2023,143.5821085
s94550,02-03-2023,121.9625685
l8499,02-03-2023,111.4640138
o495,02-03-2023,108.6615304
m98681,02-03-2023,164.6779789
p219596,02-03-2023,118.4055578
i190591,02-03-2023,162.9641908
d223919,02-03-2023,143.6882093
h160186,02-03-2023,131.4516514
n77087,02-03-2023,218.2707597
r212165,02-03-2023,123.1707528
h24196,02-03-2023,196.6692492
w103894,02-03-2023,137.9141664
q89281,02-03-2023,183.6685141
s142108,02-03-2023,179.7394449
g77,02-03-2023,121.1001498
w60692,02-03-2023,128.6340097
u65194,02-03-2023,168.1487299
p135504,02-03-2023,115.9121048
q81822,02-03-2023,160.4737554
t63125,02-03-2023,228.9872541
e99859,02-03-2023,205.9560834
g37596,02-03-2023,162.5692599
o228802,02-03-2023,188.832444
m206478,02-03-2023,225.045488
w175539,02-03-2023,231.2533196
c70077,02-03-2023,195.1970937
w9153,02-03-2023,213.6020084
m93638,02-03-2023,102.417196
f22788,02-03-2023,105.9132094
b95982,02-03-2023,218.2579476
j222728,02-03-2023,221.2937932
t139194,02-03-2023,109.0494063
w14842,02-03-2023,187.1707578
f208275,02-03-2023,188.1738518
q150239,02-03-2023,228.4963928
i151000,02-03-2023,115.8845332
i168848,02-03-2023,110.2559534
s114115,02-03-2023,171.9827587
s53407,02-03-2023,154.460007
p91699,02-03-2023,114.599834
b97176,02-03-2023,185.8534192
a65003,02-03-2023,184.6892254
r220568,02-03-2023,154.6875548
n194285,02-03-2023,168.9644084
f24243,02-03-2023,138.982268
w78051,02-03-2023,224.7585017
k87653,02-03-2023,231.1433611
a118050,02-03-2023,191.8246176
u141821,02-03-2023,211.0260554
b160540,02-03-2023,221.7927203
a128424,02-03-2023,207.8313437
f33116,02-03-2023,190.8105298
q207441,02-03-2023,189.5693105
q51495,02-03-2023,146.8555227
f110653,02-03-2023,117.2715518
e28333,02-03-2023,151.6369331
o205181,02-03-2023,102.6632283
j3020,02-03-2023,160.9348664
o102076,02-03-2023,129.1391538
u234281,02-03-2023,110.0796196
f15842,02-03-2023,140.7046512
k91813,02-03-2023,102.1245395
X42557,02-03-2023,205.9482295
f40878,02-03-2023,162.0190919
e216759,02-03-2023,222.4075284
g181864,02-03-2023,171.5590758
p119173,02-03-2023,158.0180983
b138840,02-03-2023,117.9432764
m222759,02-03-2023,216.7411504
d33309,02-03-2023,122.3951292
g32436,02-03-2023,226.0388423
m142061,02-03-2023,182.8750351
t151076,02-03-2023,133.6965725
m218390,02-03-2023,196.2853414
k82188,02-03-2023,195.3731159
b144241,02-03-2023,193.4646444
a100752,02-03-2023,112.3078055
u224854,02-03-2023,152.002551
e6497,02-03-2023,167.8566997
v115613,02-03-2023,111.793341
v149031,02-03-2023,194.5219009
v63876,02-03-2023,173.2312371
h119561,02-03-2023,106.417253
o61297,02-03-2023,212.5897811
p210695,02-03-2023,216.1872247
v60237,02-03-2023,130.1152073
i33870,02-03-2023,114.8419481
b19009,02-03-2023,160.9793316
a82691,02-03-2023,172.0204066
n34811,02-03-2023,163.4418936
m211574,02-03-2023,131.2376724
j93507,02-03-2023,202.1747167
s8646,02-03-2023,167.6426024
j211094,02-03-2023,161.4381911
d128193,02-03-2023,222.4798767
f167590,02-03-2023,177.8940851
e124853,02-03-2023,213.2678726
i182403,02-03-2023,129.7462174
p130227,02-03-2023,170.3210325
a4306,02-03-2023,104.9896457
a8090,02-03-2023,149.7531328
f27060,02-03-2023,221.9114717
q176751,02-03-2023,194.4523824
w104587,02-03-2023,225.2157521
o21378,02-03-2023,113.485676
w98403,02-03-2023,152.3280876
s89258,02-03-2023,203.2695408
t91021,02-03-2023,133.9123044
r69101,02-03-2023,150.1359934
u133613,02-03-2023,115.1526369
o219706,02-03-2023,194.0514224
o170251,02-03-2023,190.9398632
j216965,02-03-2023,179.2044086
u142615,02-03-2023,217.4419443
s190060,02-03-2023,139.4791516
u164470,02-03-2023,226.0063159
i28034,02-03-2023,129.9816034
c200337,02-03-2023,146.8061434
j103149,02-03-2023,178.868675
a82101,02-03-2023,155.5426767
a38543,02-03-2023,167.9019933
d3083,02-03-2023,163.4976956
s161150,02-03-2023,202.8913901
r208005,02-03-2023,128.8848085
u23848,02-03-2023,131.3649512
q225079,02-03-2023,127.1154113
t82505,02-03-2023,195.7302673
u232597,02-03-2023,108.5239857
m173476,02-03-2023,196.1573212
j212685,02-03-2023,107.0066593
l172507,02-03-2023,227.3149055
d83424,02-03-2023,225.3706978
i84765,02-03-2023,144.2620588
p26099,02-03-2023,111.2355945
c25919,02-03-2023,161.8515428
g181646,02-03-2023,119.4766743
p97927,02-03-2023,188.0933977
o8506,02-03-2023,192.2140889
w150225,02-03-2023,205.9305881
q223563,02-03-2023,223.3066738
r152119,02-03-2023,212.1633195
d109763,02-03-2023,115.9303449
v143386,02-03-2023,135.1673347
j86322,02-03-2023,130.2054305
m104533,02-03-2023,176.2921658
s25595,02-03-2023,146.2038137
v24302,02-03-2023,204.6961462
a84206,02-03-2023,115.4285749
h177987,02-03-2023,108.5944748
i115876,02-03-2023,198.9795927
n143174,02-03-2023,220.462419
u214935,02-03-2023,227.790297
l181406,02-03-2023,174.4562353
n168829,02-03-2023,146.2776756
u72951,02-03-2023,127.9379275
g25085,02-03-2023,154.5341519
s174573,02-03-2023,171.6113065
l151649,02-03-2023,150.9341044
r143965,02-03-2023,182.4979236
b86967,02-03-2023,109.0571551
v12005,02-03-2023,146.1787797
e187413,02-03-2023,163.0666029
m184056,02-03-2023,208.3006424
m95524,02-03-2023,193.0408454
k229285,02-03-2023,193.8706204
u206398,02-03-2023,107.4296889
h38911,02-03-2023,192.2677331
t227537,02-03-2023,204.3102583
l38669,02-03-2023,184.6817535
l3572,02-03-2023,198.770461
d87949,02-03-2023,222.0842557
q208074,02-03-2023,150.0415952
o30053,02-03-2023,104.7768628
q209412,02-03-2023,145.8707279
u75591,02-03-2023,215.5008083
q165311,02-03-2023,170.4388527
v63147,02-03-2023,214.2333423
b5509,02-03-2023,196.5394386
h183170,02-03-2023,125.7678419
t207858,02-03-2023,135.5314416
k209098,02-03-2023,226.1837715
r22492,02-03-2023,138.6673326
j60728,02-03-2023,207.567044
x166142,02-03-2023,108.8935252
v113741,02-03-2023,145.4210317
h35988,02-03-2023,199.809553
o6706,02-03-2023,216.8602099
s106260,02-03-2023,105.6398257
t40051,02-03-2023,170.0641885
d127037,02-03-2023,143.4025989
s223814,02-03-2023,196.9891717
r46263,02-03-2023,171.7191373
u115906,02-03-2023,152.704882
f7394,02-03-2023,216.799516
p166677,02-03-2023,201.0072999
c57871,02-03-2023,153.9549614
X142658,02-03-2023,99.07948643
t22815,02-03-2023,104.7026362
n32329,02-03-2023,148.7342408
k99419,02-03-2023,113.911472
v140631,02-03-2023,199.0098237
h52991,02-03-2023,115.3483074
s89492,02-03-2023,159.302674
l233590,02-03-2023,196.2872278
l77272,02-03-2023,212.9155587
d35908,02-03-2023,118.7425962
g144546,02-03-2023,125.1010013
e27515,02-03-2023,119.3305614
g71789,02-03-2023,173.5406882
w53081,02-03-2023,103.7818043
k167286,02-03-2023,116.5277711
n211701,02-03-2023,186.5717794
